provincia,codigo_provincia,municipio,codigo_municipio,tipo_via,sigla,denominacion,direccion_completa,barrio
Murcia,30,MURCIA,30,CALLE,CL,H1,"CALLE H1, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,H4,"CALLE H4, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HACIEN RIQUELME VIAL PRAL,"CALLE HACIEN RIQUELME VIAL PRAL, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HACIENDA DEL CURA,"CALLE HACIENDA DEL CURA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HACIENDA RIQUEL VIAL B,"CALLE HACIENDA RIQUEL VIAL B, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HACIENDA RIQUELME VIAL A,"CALLE HACIENDA RIQUELME VIAL A, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HACIENDA RIQUELME VIAL C,"CALLE HACIENDA RIQUELME VIAL C, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HACIENDA RIQUELME VIAL D,"CALLE HACIENDA RIQUELME VIAL D, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HAITI,"CALLE HAITI, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HANNOVER,"CALLE HANNOVER, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HELADERIA,"CALLE HELADERIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HELICE,"CALLE HELICE, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERACLITO,"CALLE HERACLITO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HEREDEROS,"CALLE HEREDEROS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERMANDAD,"CALLE HERMANDAD, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERMANOS GOMEZ,"CALLE HERMANOS GOMEZ, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERMANOS SERRANO TORTAJAD,"CALLE HERMANOS SERRANO TORTAJAD, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNAN CORTES,"CALLE HERNAN CORTES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNAN CORTES,"CALLE HERNAN CORTES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNAN CORTES,"CALLE HERNAN CORTES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNAN CORTES,"CALLE HERNAN CORTES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNAN CORTES,"CALLE HERNAN CORTES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNANDEZ MORA,"CALLE HERNANDEZ MORA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERNANDEZ MUÑOZ,"CALLE HERNANDEZ MUÑOZ, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERRADURA,"CALLE HERRADURA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERRERIA,"CALLE HERRERIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERRERIA,"CALLE HERRERIA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERRERO,"CALLE HERRERO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERRERO FATIGAS,"CALLE HERRERO FATIGAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERREROS,"CALLE HERREROS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERREROS,"CALLE HERREROS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HERREROS,"CALLE HERREROS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIDALGO,"CALLE HIDALGO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIEDRA,"CALLE HIEDRA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIEDRA - TORREGUIL,"CALLE HIEDRA - TORREGUIL, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIERBA BUENA,"CALLE HIERBA BUENA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIERBABUENA,"CALLE HIERBABUENA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIGINIO NICOLAS,"CALLE HIGINIO NICOLAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIGUERA,"CALLE HIGUERA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIGUERA,"CALLE HIGUERA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIGUERAS,"CALLE HIGUERAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIGUERAS,"CALLE HIGUERAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HILANDERAS,"CALLE HILANDERAS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HINOJO,"CALLE HINOJO, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HINOJOS,"CALLE HINOJOS, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HISPANIDAD,"CALLE HISPANIDAD, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HIST JUAN TORRES FONTES,"CALLE HIST JUAN TORRES FONTES, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HISTORIA DE ESPAÑA,"CALLE HISTORIA DE ESPAÑA, MURCIA, Murcia",DESCONOCIDO
Murcia,30,MURCIA,30,CALLE,CL,HISTORIADOR ANTONIO SOLIS,"CALLE HISTORIADOR ANTONIO SOLIS, MURCIA, Murcia",DESCONOCIDO
